stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
1,1,Dionysios Solomos Square,SqrSolomou,35.1707064870553,33.3589205343724,1
2,3,Evagorou Ave.  - Vasileos Pavlou,Evag-Pavl,35.1677905885467,33.3570079918293,2
323,422,Archiep. Makariou III Ave. - Iras,M-Iras,35.1656621977647,33.3631918662444,323
324,423,Archiep. Makariou III Ave. - Mnasiadou,M-Mnasiado,35.1661974886152,33.3620961581633,324
325,424,Archiep. Makariou III Ave. - Naxou,M-Naxou,35.1625065679554,33.366065678288,325
326,425,Archiep. Makariou III Ave. - Dimofontos,M-Dimofont,35.1627608014222,33.3654848553327,326
332,432,Technical School Nicosia III,Tech.Schol,35.1568467559872,33.3739566285601,332
333,433,Archiep. Makariou III Ave. - Ethnikis Frouras,M-Kenedi,35.1563864814598,33.3740862769427,333
337,437,Police Headquarters,Police HQ,35.1477840726805,33.3741017977825,337
338,438,Traffic Education Park,L-Edu Park,35.1474406118456,33.3743637064748,338
339,441,Lemesou Ave. - Ellispontou,L-Elispon,35.1423644970571,33.3741867753681,339
340,442,Lemesou Ave. - Kalispera,Kalispera,35.1413169604423,33.3746869478481,340
341,445,Kalamon - Kampou,Kal-Kamp,35.1271343844758,33.3683329427313,341
342,446,Kalamon - Meteoron,Kal-Meteor,35.1268639058609,33.3683207493343,342
346,450,The Mall of Cyprus - Verginas,TMallVer,35.1296954455061,33.3741617405526,346
1297,30001,Karavella Bus Station,KarBusSta,34.778616320876,32.4221249543794,1297
1303,30007,Fire Station 1,FireStati,34.7695891522913,32.435465367438,1303
1352,30057,Fire Station 2,FireStati,34.7691594592919,32.4361458242732,1352
1462,30180,Kings Avenue Mall 2,KinAveMal,34.7660767498971,32.4153936033586,1462
1910,30748,Pafos District Courthouse 2,PafDisCou,34.7748898009398,32.4273748382485,1910
1919,30757,Kings Avenue Mall 1,KinAveMal,34.7653958302467,32.4144367924237,1919
1975,30907,Pafos District Courthouse 1,PafDisCou,34.7745233269912,32.4280658729993,1975
2004,31113,Stratigou Alex. Papagou - Evzonon,StAlPa-Ev,34.7743159110939,32.4357938204752,2004
2751,74,Olympic Swimming Pool 1,OlySwiPoo,35.1726530766298,33.3500558341163,2751
2753,76,Ave. Louki Akrita - Ministry of Agriculture 1,LAk-MioAg,35.1721367004271,33.3477584488817,2753
2754,77,Ave. Louki Akrita - Ministry of Agriculture 2,LAk-MioAg,35.1722093723791,33.3475720695211,2754
2788,130,Chilonos - Michail Paridi,Ch-MiPa,35.1708040725686,33.3533313787656,2788
2839,201,Ave. Dimostheni Severi - Ministry of Interior,DiSe-MioIn,35.1652643510752,33.3544274541658,2839
2844,206,Ministry of Foreign Affairs,MiofFoAf,35.1575986350105,33.3517261281266,2844
2845,207,Ave. Dimostheni Severi - Apelli,AvDiSe-Ap,35.1577789119856,33.3517488636013,2845
3110,641,University of Cyprus - Oceanography Center,UnoCy-OcCe,35.1443862687783,33.4071517965074,3110
3111,642,University of Cyprus - University House,UnoCy-UnH,35.1460482761817,33.4089824472376,3111
3156,691,University of Cyprus - North Campus Entrance,UnoCy-NCaE,35.1469279782314,33.4154530487227,3156
3330,925,Athalassis - Military Camp,At-MiCa,35.1396018892484,33.3978850945119,3330
3906,10004,New Port - Passenger Building,NePo-PaBu,34.6556927006373,33.0221319488309,3906
3907,10005,Ave. Omonoias - Optikou Nikolaidi,AvOm-OpNi,34.6615189433628,33.0182153884961,3907
3910,10008,Fragklinou Rousvelt - Social Insurance,FrRo-SoIn,34.6677399450672,33.0258352588422,3910
3913,10011,Tzelal Bagiar - Agios Antonios Church 2,TzBa-AAnCh,34.6718760191865,33.0379088772409,3913
3916,10014,Spyrou Araouzou - Agia Napa Church,SpAr-ANCh,34.6732624152377,33.0448735932546,3916
3919,10017,28 Oktovriou - Sotiri Michailidi,28Ok-SoMi,34.6807075676039,33.0538836963295,3919
3922,10020,28 Oktovriou - Debenhams 2,28Ok-De,34.6885545404173,33.0690095156999,3922
3928,10026,Vasileos Georgiou A´ - Ampelakion,VaGeA-Am,34.6966654515964,33.0907005119513,3928
3944,10042,Amathountos Ave. - Hawaii Hotel,AmAv-HaHo,34.7143264108286,33.1644357049357,3944
3949,10048,Paradromos Amathountos - Grand Resort Hotel,PaAm-GReH,34.7137668332857,33.1647840628768,3949
3963,10062,Vasileos Georgiou A´ - Amerikanas,VaGeA-Am,34.6964850370689,33.0907767448744,3963
3968,10067,28 Oktovriou - Debenhams 1,28Ok-De,34.6880320242089,33.0680811006019,3968
3971,10070,28 Oktovriou - Zoo,28Ok-Zo,34.6816446556904,33.055609124882,3971
3974,10073,Spyrou Araouzou - Molos Parking Place,SpAr-MPaP,34.6729738255774,33.0449170994356,3974
3975,10074,Tzelal Bagiar - Agios Antonios Church 1,TzBa-AAnCh,34.6717678514845,33.0377560138059,3975
3978,10077,Fragklinou Rousvelt - Synergatismou,FrRo-Sy,34.6664867793441,33.0242413375462,3978
3980,10079,Omonoias Ave. - Tsiflikoudion,OmAv-Ts,34.6625110053161,33.0176153309949,3980
