shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
50040011,34.916454043861,33.6381304225723,0
50040011,34.9148677404821,33.6379867799514,1
50040011,34.9149569296498,33.6364548682686,2
50040011,34.9153715974348,33.6364799634884,3
50040011,34.9156510673866,33.6364930680608,4
50040011,34.9165347915451,33.6364889427777,5
50040011,34.9176435393402,33.6365631873256,6
50040011,34.9175746703626,33.6359386478707,7
50040011,34.9177982319996,33.6345719305019,8
50040011,34.9178725396794,33.6341564957337,9
50040011,34.9178559906744,33.6338717323264,10
50040011,34.9177873930807,33.6331924578071,11
50040011,34.9176678789575,33.6318997326875,12
50040011,34.9175409242765,33.630300424194,13
50040011,34.9175317369122,33.6303331964646,14
50040011,34.9172612831791,33.6303201812984,15
50040011,34.9168927208879,33.6300984152676,16
50040011,34.9174361818621,33.6296318265481,17
50040011,34.9172152342119,33.6287652897757,18
50040011,34.9169942237605,33.6279097045623,19
50040011,34.9166581881691,33.626626300918,20
50040011,34.9165788407963,33.6262753817459,21
50040011,34.9164814583495,33.6259243263278,22
50040011,34.9163047244378,33.6252223546895,23
50040011,34.9163332958514,33.6249269929721,24
50040011,34.9166795438318,33.6242289841708,25
50040011,34.9168344636667,33.6239126820632,26
50040011,34.9169346625124,33.6237163865933,27
50040011,34.9170170516553,33.6234761662019,28
50040011,34.9173647497361,33.6224935218147,29
50040011,34.9174287660665,33.6223188452382,30
50040011,34.9176301106581,33.62174014637,31
50040011,34.9179230214893,33.6208884455074,32
50040011,34.9182066300678,33.6200914066,33
50040011,34.9184165346599,33.6196003421212,34
50040011,34.9187261265983,33.6190114947152,35
50040011,34.9187625850732,33.6189351347389,36
50040011,34.918798987748,33.6188697219553,37
50040011,34.9191078519954,33.6184231839769,38
50040011,34.9193987362232,33.6179655601197,39
50040011,34.9196351827258,33.617573212023,40
50040011,34.9197447777862,33.617300337875,41
50040011,34.9200726705639,33.6166568699874,42
50040011,34.9201090720259,33.6165914551481,43
50040011,34.9201371228699,33.6163946034973,44
50040011,34.9200841865972,33.6161643028081,45
50040011,34.919869054176,33.6159108949401,46
50040011,34.9198332634498,33.6158558884526,47
50040011,34.919242574266,33.6149756566023,48
50040011,34.9191441623565,33.6148216543073,49
50040011,34.918687836042,33.6141176005057,50
50040011,34.918625214622,33.6140186051056,51
50040011,34.9185894783249,33.6139526530218,52
50040011,34.9184109068482,33.6136009990158,53
50040011,34.9182234277774,33.6132273850603,54
50040011,34.9178938823939,33.6124148142253,55
50040011,34.9176280568389,33.6114822997312,56
50040011,34.9174179209934,33.6102327260579,57
50040011,34.9173134522479,33.6094875236322,58
50040011,34.9172192569909,33.6084906069517,59
50040011,34.9171595890418,33.6078004760343,60
50040011,34.9170558161591,33.6069129671087,61
50040011,34.9168800094796,33.6060030360301,62
50040011,34.9166675280375,33.6052132610945,63
